1,2,3,4,No
1,2,3,4,No
Alex,Pot,Siros,7206459322,No
Alex,Pot,Siros,7206459322,No
Alex,Pot,Siros,7206459322,No
Alex,Pot,Siros,7206459322,0
Alex,Pot,Siros,7206459322,0
Alex,Pot,Siros,7206459322,0
Alex,Pot,Siros,7206459322,0
Alex,Pot,Siros,7206459322,0
Alex,Pot,Siros,7206459322,0
Alex,Pot,Siros,7206459322,0
Alex,Pot,Siros 1,7206459322,0
Alex,Pot,Siros,7206459322,0
2,3,4,5,0
q,w,e,r,0
2,3,3,3,0
d,d,f,g,0
q,w,d,f,0
8,9,6,7,0
Christian,Baldauf,STH,123,0
1,111,1,1,0
Alex,Pot,Siros,7206459322,0
4,4,4,4,0
213,123,123,13,0
123,123,123,123,0
123,123,423,432,0
Alex,Potapov,Siros,1,0
213,sadf,asdf,sadf,0
ewr,weqr,qwer,wqer,0
Alex,Potapov,Siros,3,0
12312,123,123,123,0
fsdafasf,dsafasdf,sdafasdf,asdf,0
21341234,234123,1234213,41234,0
1,1,1,1,0
2341234,324123,42134,324,0
Alexander,Potapov,Siros,we,0
Alexander,Potapov,Siros,s,0
Alexander,asdfasd,fasdf,dasf,0
Alexander,Potapov,sadf,asfd,0
Alexander,Potapov,Siros,sdds,0
Alexander,Potapov,Siros,123,0
Alexander,Potapov,Siros,123,0
Alexander,Potapov,32423 1324 1324 1234 ,234,0
Alexander,Potapov,Siros,asdf,0
Alexander,Potapov,Siros,sadas,0
Alexander,Potapov,Siros,sadf,0
Alexander,Potapov,Siros,sadas,0
Alexander,Potapov,Siros,s,0
Alexander,Potapov,Siros,d,0
Alexander,Potapov,Siros,123,0
Alexander,Potapov,Siros,123,0
Alexander,Potapov,Siros,123,0
Alexander,Potapov,Siros,d,0
Alexander,Potapov,Siros,123,0
Alex,Potapov,Siros,no,0
Hdhdhd,Hzhdh,,Hdhdh,0
Christiannnnnnnnnnnn,Baldaufffffffffff,,SIROSSSSSSSSSS,0
Ashton,Preble,ashton.preble@gmail.com,Siros,0
Alexander ,Potapov,,SIROS,0
4,3,,1,0
A,B,f@g.com,D,0
Alex,Potapov ,SIROS ,,0
C,B,Three Peaks Energy Venturers Capital ,,0
,,,,0
Christian,Baldauf,Three peaks resources LLC company ,,0
Christian,Baldauf,Three peaks resources LLC company ,,0
alex,sdfs,Three peaks resources LLC company,,0
fdasdfasdfsdf,sadf asdfas,Three peaks resources LLC company,,0
33333333333,444444444444444,Three peaks resources LLC company,,0
Christian,Baldauf,SIROS,,0
Hdhd,Djhd,Dhhd,,0
Alex,Potapov ,Siros ,,0
Dhdh,Dhdh,Dhhd,,0
Dhdhh,Dudhd,Dudhd ,,0
Ggg,Fgg,Ffg,,0
Hggg,Ggg,Tttt,,0
dfsgsfdg,sdfg 45 ffd,sdgsdfg,,0
65464356s dgsd,4356fgd gdfg,sdf gs,,0
Alex,Potapov,Siros,no,0
Alex,Potapov,Siros,no,0
Alex,Potapov,Siros,no,0
Alex,Potapov,Siros,alex@alex.com,0
Alex,Potapov,Siros,alex@alex.com,0
